Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","98178","Ongoing","Baxter Healthcare Corporation","1 Baxter Pkwy","N/A","Deerfield","IL","	60015-4625","United States","Voluntary: Firm initiated","Letter","Nationwide","D-0296-2026","Class II","Sterile Water for Irrigation, 250 mL, Single-Dose Plastic Bottle, Rx Only, Baxter Healthcare Corporation Deerfield, IL 60015 NDC: 0338-0004-02.  ","125,496 bottles","Presence of particulate matter: plastic particles from the bottle rim were observed floating into the solution","12/22/2025","01/23/2026","N/A","02/04/2026","Lot #: G171359, expiry: 05/31/2027"
"Drugs","No","","98181","Ongoing","Imprimis NJOF, LLC","1705 Route 46 Ste 6B","N/A","Ledgewood","NJ","	07852-9720","United States","Voluntary: Firm initiated","Letter","U.S Nationwide","D-0249-2026","Class II","Dexamethasone   Moxifloxacin, 1 mg/mL and 5 mg/mL, 1 mL Intraocular Injection, Rx only, Imprimis NJOF, LLC, Ledgewood, NJ 07852, NDC 71384-512-0.1","778 boxes of 15,540 pre-filled syringes","Presence of particulate matter - Glass like particles.","12/18/2025","01/02/2026","N/A","01/14/2026","Lot: 25MAY051, Expires: 06/26/2026; 25AUG003, Expires:08/07/2026"
"Drugs","No","","98181","Ongoing","Imprimis NJOF, LLC","1705 Route 46 Ste 6B","N/A","Ledgewood","NJ","	07852-9720","United States","Voluntary: Firm initiated","Letter","U.S Nationwide","D-0250-2026","Class II","Dexamethasone  Moxifloxacin  Ketorolac, 1 mg/mL, 0.5 mg/mL, 0.4 mg/mL) Single-Use Intraocular Injection, Imprimis NJOF, LLC., 1705 Route 46 West, Unit 6B, Ledgewood, NJ 07852, NDC 71384-513-01.","596 boxes of 11,920 pre-filled syringes","Presence of particulate matter - Glass like particles.","12/18/2025","01/02/2026","N/A","01/14/2026","Lot: 25APR001A, 25APR001B, Expires: 04/03/2026."
"Drugs","No","","98181","Ongoing","Imprimis NJOF, LLC","1705 Route 46 Ste 6B","N/A","Ledgewood","NJ","	07852-9720","United States","Voluntary: Firm initiated","Letter","U.S Nationwide","D-0251-2026","Class II","Tri-Moxi+¿  (Triamcinolone 9mg/0.6mL, Moxifloxacin 0.6 mg/ 0.6 mL) Single-Use Intraocular Injection, Imprimis NJOF, LLC., 1705 Route 46 West, Unit 6B, Ledgewood, NJ 07852. NDC 71384-746-06.","314 boxes of 6,280 pre-filled syringes","Presence of particulate matter - Glass like particles.","12/18/2025","01/02/2026","N/A","01/14/2026","Lot: 25JAN033A, 25JAN033B, Expires: 02/12/2026."
"Drugs","No","","98193","Ongoing","Cipla USA, Inc.","10 Independence Blvd","N/A","Warren","NJ","	07059-2730","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0291-2026","Class III","Diclofenac Sodium Topical Gel, 1%, NET WT 100 g (3.53 oz), Manufactured by: DPT Laboratories, Ltd., 307 E Josephine Street, San Antonio, TX 78215.  NDC: 76282-103-39","92,376 tubes","Failed PH Specifications","12/22/2025","01/20/2026","N/A","01/28/2026","Batch XHBG; Exp. 08/31/2027"
"Drugs","No","","98198","Ongoing","Haleon US Holdings LLC","184 Liberty Corner Rd Ste 200","N/A","Warren","NJ","	07059-6870","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0297-2026","Class III","parodontax (cetylpyridinium chloride)ACTIVE GUM HEALTH, Mouthwash, Mint. Net Wt 16.9 FL OZ (500 mL), Distributed by Haleon, Warren, NJ 07059. NDC 0135-0651-02  ","84,764 bottles","Labeling: Incorrect or Missing Lot and/or Exp Date: Potential for missing or illegible lot and expiration date coding on the bottles.","12/26/2025","01/26/2026","N/A","02/04/2026","Lot #: 0665363, Exp 08/31/2027. Lot number and Exp Date may not appear on the 500 mL bottle."
"Drugs","No","","98216","Ongoing","Sato Pharmaceutical Co., Ltd","Ahc Building 1-5-27","N/A","Tokyo","N/A","	N/A","Japan","Voluntary: Firm initiated","Letter","CA and HI","D-0298-2026","Class II","INON ACE Antacid tablets (magnesium aluminosilicate, magnesium hydroxide and simethicone), 75-count bottle, Manufactured by: Sato Pharmaceutical Co., Ltd., NDC 49873-402-01","3,640 bottles","Failed Disintegration Specifications: above the time expected.","12/19/2025","01/27/2026","N/A","02/04/2026","Lot#: PWXT, Exp 1/31/2027"
"Drugs","No","","98225","Ongoing","Alvogen, Inc","44 Whippany Rd Ste 300","N/A","Morristown","NJ","	07960-4558","United States","Voluntary: Firm initiated","Letter","US Nationwide.","D-0259-2026","Class II","Levothyroxine Sodium Tablets, USP, Thyro-Tabs, 150mcg, 1000 Tablets, Rx only, Manufactured by: LLOYD, Inc., Shenandoah, IA, 51601 USA, Distributed by: Alvogen, Inc., Pine Brook, NJ 07058 USA, NDC: 47781-662-10.","N/A","Product Mix-Up: A single bottle of this lot was reported by a pharmacy to contain 88 mcg tablets instead of 150 mcg tablets.","12/31/2025","01/14/2026","N/A","01/21/2026","Lot # MHA21825, Exp Date: December 31, 2027"
"Drugs","No","04/22/2026","98227","Ongoing","Zydus Pharmaceuticals (USA) Inc","73 Route 31 N","N/A","Pennington","NJ","	08534-3601","United States","Voluntary: Firm initiated","Letter","US Nationwide.","D-0295-2026","Class II","Icosapent Ethyl capsules, 1 gram, 120-count bottles, Rx only, Manufactured by: Softgel Healthcare Pvt. Ltd., India, Distributed by: Zydus Pharmaceuticals (USA) Inc., Pennington, NJ 08534, NDC 70710-1592-07","22,896 bottles","Subpotent Drug: Due to oxidation caused by leakage of the contents of the capsules","12/30/2025","01/22/2026","N/A","01/28/2026","Lot # S2520304, S2520333, Exp 2/28/2027; S2540186, Exp 4/30/2027"
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0261-2026","Class II","Advil a) Ibuprofen, Dispenser Pack, 2 tablet packets in box containing 50 individual packets, UPC: 305730154895; b) PM, Ibuprofen, Dispenser Pack, 2 Caplet packets in box containing 50 packets, UPC: 305730164559","Unkown","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
