Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0366-2017","Class II","Methylcobalamin 5,000 mcg/mL Injectable, 10 mL vial,  Compounded by Wells Pharmacy, Ocala, FL","265 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 04152016@3, 05192016@1, 06132016@23, 07132016@10, 08112016@22, 09062016@32."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0367-2017","Class II","Methylcobalamin Injectable (Dr. Hall Kit) - 1,000 mcg/mL, 30 mL vial Kit, Compounded by Wells Pharmacy, Ocala, FL","7 kits (number of vials per kit vary by prescription)","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known kit lot code: 04292016@93, 07282016@26, 09082016@37.  Known vial lot code: 04052016@1, 05262016@32, 08092016@6."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0368-2017","Class II","MIC/B12(M) 15 mg/50 mg/100 mg/1 mg/mL Injectable, 30 mL vial, Compounded by Wells Pharmacy, Ocala, FL","633 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 04222016@4, 05112016@24, 05162016@14, 06082016@8, 06222016@42, 07272016@8"
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0369-2017","Class II","MIC/B12/CAR/CHR/LYS/DMG 25 mg/50 mg/50 mg/0.5 mg/50 mg/25 mcg/25 mg/25 mg/mL Injectable, 30 mL vial, Injectable, Compounded by Wells Pharmacy, Ocala, FL","106 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 06292016@10, 08092016@19, 08232016@5."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0370-2017","Class II","MIC/B-COMP/(M)/CHROM/CARN, 20 mg/40 mg/50 mg/25 mcg/25 mg/mL Injectable, 30 mL vial, Compounded by Wells Pharmacy, Ocala, FL","933 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 04082016@4, 05102016@1, 05172016@6, 06032016@3, 06092016@17, 06212016@42, 07012016@32, 07272016@16, 08172016@13, 4252016@21."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0371-2017","Class II","MIC/BCOMP+CAR+ARG+CHR+LID 12.5 mg/25 mg/25 mg/25 mg/12.5 mg/0.2 mg/20 mg/mL Injectable, a) 10 mL and b) 30 mL vial, Compounded by Wells Pharmacy, Ocala, FL","511 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: a) 04192016@7, 05132016@7, 07052016@19, 08102016@9 and b) 04262016@4, 05132016@9, 05192016@9, 05252016@25, 08122016@1."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0372-2017","Class II","MIC/B-COMP+CARN+LIDO, 15 mg/30 mg/30 mg/85 mg/20 mg/mL Injectable, 30 mL vial, Compounded by Wells Pharmacy, Ocala, FL","1716 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 03302016@9, 04072016@15, 05022016@14, 05052016@5, 05162016@16, 06012016@11, 06092016@30, 06152016@15, 06212016@2, 07152016@8, 08042016@21."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0373-2017","Class II","MIC/B-COMP+LIDO 20 mg/40 mg/50 mg/10 mg/mL Injectable, 30 mL vial, Compounded by Wells Pharmacy, Ocala, FL","4 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 07132016@5."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0374-2017","Class II","MIC/B-COMPLEX 15 mg/50 mg/100 mg/mL Injectable, 30 mL vial, Compounded by Wells Pharmacy, Ocala, FL","984 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 04052016@5, 04082016@3, 04182016@37, 05032016@2, 05182016@3, 05232016@22, 06072016@18, 06282016@45, 07252016@52, 08262016@8."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0375-2017","Class II","MIC/Chromium/B12(M) Injectable, 25 mg/50 mg/50 mg/25 mcg/1 mg/mL, 10 mL vial, Compounded by Wells Pharmacy, Ocala, FL","648 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 03302016@8, 04152016@5, 05032016@15, 05262016@24, 06142016@1, 07202016@55."
